,question,context,answer
3178,How many actions does it take to process the nut?,"turn the oven # part : turn # to 180degc. roll # tool : rolling pin 2.1.1 # out the puff # part : roll # pastry from the package and taking his parchment paper as a basis , adagiala # drop : puff pastry 2.1.4 # on a baking # part : adagiala # sheet . obtained from six pastry rectangles and prick # drop : puff pastry 2.1.4 # the base with a fork # part : prick # . with the tip of a knife # part : etch # lightly etch # result : puff pastry 2.1.4 # designs a rectangle 1 cm from the edge , so that will not leak out of the gorgonzola # part : cooking # pasta during cooking . cut # drop : pieces 5.1.3, tool : knife 4.1.6 # into pieces # part : distribute # and distribute evenly the gorgonzola # part : distribute # in the quantity you want on each rectangle # part : distribute # . wash and dry the figs # part : wash # , cut # drop : figs 6.1.5, tool : knife 4.1.6 # into wedges and put # drop : figs 6.1.5, habitat : gorgonzola pasta 4.1.26 # them over the gorgonzola # part : put # . break the nuts # part : break # coarsely and add # drop : nuts 7.1.3 # them over each pastry # part : add # . bake # drop : gorgonzola pasta 4.1.26, habitat : oven 1.1.3 # for 13 - 14 minutes . serve # drop : gorgonzola pasta 4.1.26 # immediately . if you like the sweet - salty combination try to put a drizzle # part : put # of your favorite honey ;) ",2
3179,How many actions does it take to process the puff pastry?,"turn the oven # part : turn # to 180degc. roll # tool : rolling pin 2.1.1 # out the puff # part : roll # pastry from the package and taking his parchment paper as a basis , adagiala # drop : puff pastry 2.1.4 # on a baking # part : adagiala # sheet . obtained from six pastry rectangles and prick # drop : puff pastry 2.1.4 # the base with a fork # part : prick # . with the tip of a knife # part : etch # lightly etch # result : puff pastry 2.1.4 # designs a rectangle 1 cm from the edge , so that will not leak out of the gorgonzola # part : cooking # pasta during cooking . cut # drop : pieces 5.1.3, tool : knife 4.1.6 # into pieces # part : distribute # and distribute evenly the gorgonzola # part : distribute # in the quantity you want on each rectangle # part : distribute # . wash and dry the figs # part : wash # , cut # drop : figs 6.1.5, tool : knife 4.1.6 # into wedges and put # drop : figs 6.1.5, habitat : gorgonzola pasta 4.1.26 # them over the gorgonzola # part : put # . break the nuts # part : break # coarsely and add # drop : nuts 7.1.3 # them over each pastry # part : add # . bake # drop : gorgonzola pasta 4.1.26, habitat : oven 1.1.3 # for 13 - 14 minutes . serve # drop : gorgonzola pasta 4.1.26 # immediately . if you like the sweet - salty combination try to put a drizzle # part : put # of your favorite honey ;) ",4
3180,How many knives are used?,"turn the oven # part : turn # to 180degc. roll # tool : rolling pin 2.1.1 # out the puff # part : roll # pastry from the package and taking his parchment paper as a basis , adagiala # drop : puff pastry 2.1.4 # on a baking # part : adagiala # sheet . obtained from six pastry rectangles and prick # drop : puff pastry 2.1.4 # the base with a fork # part : prick # . with the tip of a knife # part : etch # lightly etch # result : puff pastry 2.1.4 # designs a rectangle 1 cm from the edge , so that will not leak out of the gorgonzola # part : cooking # pasta during cooking . cut # drop : pieces 5.1.3, tool : knife 4.1.6 # into pieces # part : distribute # and distribute evenly the gorgonzola # part : distribute # in the quantity you want on each rectangle # part : distribute # . wash and dry the figs # part : wash # , cut # drop : figs 6.1.5, tool : knife 4.1.6 # into wedges and put # drop : figs 6.1.5, habitat : gorgonzola pasta 4.1.26 # them over the gorgonzola # part : put # . break the nuts # part : break # coarsely and add # drop : nuts 7.1.3 # them over each pastry # part : add # . bake # drop : gorgonzola pasta 4.1.26, habitat : oven 1.1.3 # for 13 - 14 minutes . serve # drop : gorgonzola pasta 4.1.26 # immediately . if you like the sweet - salty combination try to put a drizzle # part : put # of your favorite honey ;) ",1
3181,How many times is the mixer used?,"combine # result : flour mixture 4.1.6, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # powder , soda # part : combine # and salt # part : combine # . set # drop : flour mixture 4.1.6 # aside . cream # result : batter 3.1.1, tool : mixer 3.1.1, habitat : bowl 3.1.1 # butter # part : cream # and sugars # part : cream # ; beat # tool : mixer 3.1.1, habitat : bowl 3.1.1 # in eggs # part : beat # one at a time and vanilla # part : beat # . stir # tool : spoon 4.1.1, habitat : bowl 3.1.1 # in buttermilk # part : stir # alternately with flour # part : stir # mixture . fold # shadow : batter 3.1.1, tool : spoon 4.1.1, habitat : bowl 3.1.1 # in apples # part : fold # , nuts # part : fold # and orange # part : fold # peel . pour # drop : batter 3.1.1 # into two 81/2 # part : pour # x 41/2 x 25/8 - inch greased and floured loaf pans . bake # drop : batter 3.1.1, result : cake 7.1.1, habitat : oven 7.1.1 # at 350 degf for 50 to 60 minutes or until wooden # part : inserted # pick inserted near center comes out clean . cool # drop : cake 7.1.1 # in pan # part : cool # 10 minutes ; remove # drop : cake 7.1.1, habitat : x x inch greased and floured loaf pans 6.1.4 # from pan # part : cool # and cool # drop : cake 7.1.1 # completely on wire # part : cool # rack . wrap # drop : cake 7.1.1 # and let stand # drop : cake 7.1.1 # overnight to allow flavors to blend . ",10
3182,How many actions does it take to process the sugar?,"combine # result : flour mixture 4.1.6, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # powder , soda # part : combine # and salt # part : combine # . set # drop : flour mixture 4.1.6 # aside . cream # result : batter 3.1.1, tool : mixer 3.1.1, habitat : bowl 3.1.1 # butter # part : cream # and sugars # part : cream # ; beat # tool : mixer 3.1.1, habitat : bowl 3.1.1 # in eggs # part : beat # one at a time and vanilla # part : beat # . stir # tool : spoon 4.1.1, habitat : bowl 3.1.1 # in buttermilk # part : stir # alternately with flour # part : stir # mixture . fold # shadow : batter 3.1.1, tool : spoon 4.1.1, habitat : bowl 3.1.1 # in apples # part : fold # , nuts # part : fold # and orange # part : fold # peel . pour # drop : batter 3.1.1 # into two 81/2 # part : pour # x 41/2 x 25/8 - inch greased and floured loaf pans . bake # drop : batter 3.1.1, result : cake 7.1.1, habitat : oven 7.1.1 # at 350 degf for 50 to 60 minutes or until wooden # part : inserted # pick inserted near center comes out clean . cool # drop : cake 7.1.1 # in pan # part : cool # 10 minutes ; remove # drop : cake 7.1.1, habitat : x x inch greased and floured loaf pans 6.1.4 # from pan # part : cool # and cool # drop : cake 7.1.1 # completely on wire # part : cool # rack . wrap # drop : cake 7.1.1 # and let stand # drop : cake 7.1.1 # overnight to allow flavors to blend . ",1
3183,How many ovens are used?,"combine # result : flour mixture 4.1.6, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # powder , soda # part : combine # and salt # part : combine # . set # drop : flour mixture 4.1.6 # aside . cream # result : batter 3.1.1, tool : mixer 3.1.1, habitat : bowl 3.1.1 # butter # part : cream # and sugars # part : cream # ; beat # tool : mixer 3.1.1, habitat : bowl 3.1.1 # in eggs # part : beat # one at a time and vanilla # part : beat # . stir # tool : spoon 4.1.1, habitat : bowl 3.1.1 # in buttermilk # part : stir # alternately with flour # part : stir # mixture . fold # shadow : batter 3.1.1, tool : spoon 4.1.1, habitat : bowl 3.1.1 # in apples # part : fold # , nuts # part : fold # and orange # part : fold # peel . pour # drop : batter 3.1.1 # into two 81/2 # part : pour # x 41/2 x 25/8 - inch greased and floured loaf pans . bake # drop : batter 3.1.1, result : cake 7.1.1, habitat : oven 7.1.1 # at 350 degf for 50 to 60 minutes or until wooden # part : inserted # pick inserted near center comes out clean . cool # drop : cake 7.1.1 # in pan # part : cool # 10 minutes ; remove # drop : cake 7.1.1, habitat : x x inch greased and floured loaf pans 6.1.4 # from pan # part : cool # and cool # drop : cake 7.1.1 # completely on wire # part : cool # rack . wrap # drop : cake 7.1.1 # and let stand # drop : cake 7.1.1 # overnight to allow flavors to blend . ",1
3184,How many actions does it take to process the egg?,"combine # result : flour mixture 4.1.6, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # powder , soda # part : combine # and salt # part : combine # . set # drop : flour mixture 4.1.6 # aside . cream # result : batter 3.1.1, tool : mixer 3.1.1, habitat : bowl 3.1.1 # butter # part : cream # and sugars # part : cream # ; beat # tool : mixer 3.1.1, habitat : bowl 3.1.1 # in eggs # part : beat # one at a time and vanilla # part : beat # . stir # tool : spoon 4.1.1, habitat : bowl 3.1.1 # in buttermilk # part : stir # alternately with flour # part : stir # mixture . fold # shadow : batter 3.1.1, tool : spoon 4.1.1, habitat : bowl 3.1.1 # in apples # part : fold # , nuts # part : fold # and orange # part : fold # peel . pour # drop : batter 3.1.1 # into two 81/2 # part : pour # x 41/2 x 25/8 - inch greased and floured loaf pans . bake # drop : batter 3.1.1, result : cake 7.1.1, habitat : oven 7.1.1 # at 350 degf for 50 to 60 minutes or until wooden # part : inserted # pick inserted near center comes out clean . cool # drop : cake 7.1.1 # in pan # part : cool # 10 minutes ; remove # drop : cake 7.1.1, habitat : x x inch greased and floured loaf pans 6.1.4 # from pan # part : cool # and cool # drop : cake 7.1.1 # completely on wire # part : cool # rack . wrap # drop : cake 7.1.1 # and let stand # drop : cake 7.1.1 # overnight to allow flavors to blend . ",1
3185,How many fridges are used?,"combine # result : mixture 1.1.1, habitat : bowl 1.1.1 # water # part : combine # , sugar # part : combine # , agar # part : combine # agar powder and pandan # part : combine # leaves and bring to a boil # drop : mixture 1.1.1 # . stir # drop : mixture 1.1.1, tool : spoon 1.2.1 # until sugar # part : dissolve # and agar # part : dissolve # agar dissolve . discard pandan # part : discard # leaves . add # drop : mixture 1.1.1 # kara # part : add # coconut cream and bring to a boil # drop : mixture 1.1.1 # . fill up 3/4 of each mahjong # part : fill # tile , and let it set . add desired food # part : add # colouring to the rest of the agar # part : add # mixture ; i 'm using baking # part : add # king apple # part : add # green food colouring here . fill up the remaining mahjong # part : fill # tiles . leave to cool # drop : mahjong tile 2.2.6 # and chill # drop : mahjong tile 2.2.6, habitat : fridge 4.2.7 # in fridge # part : cool # until set . remove # habitat : fridge 4.2.7 # tiles # part : remove # and use food # part : use # pens to trace # tool : food pens 5.1.5 # the mahjong characters . you 'll need lots of patience and a good eye - sight for this step . leave # drop : mahjong tile 2.2.6 # to dry # drop : mahjong tile 2.2.6 # , and serve your desserts # part : serve # chilled . ",1
3186,How many spoons are used?,"combine # result : mixture 1.1.1, habitat : bowl 1.1.1 # water # part : combine # , sugar # part : combine # , agar # part : combine # agar powder and pandan # part : combine # leaves and bring to a boil # drop : mixture 1.1.1 # . stir # drop : mixture 1.1.1, tool : spoon 1.2.1 # until sugar # part : dissolve # and agar # part : dissolve # agar dissolve . discard pandan # part : discard # leaves . add # drop : mixture 1.1.1 # kara # part : add # coconut cream and bring to a boil # drop : mixture 1.1.1 # . fill up 3/4 of each mahjong # part : fill # tile , and let it set . add desired food # part : add # colouring to the rest of the agar # part : add # mixture ; i 'm using baking # part : add # king apple # part : add # green food colouring here . fill up the remaining mahjong # part : fill # tiles . leave to cool # drop : mahjong tile 2.2.6 # and chill # drop : mahjong tile 2.2.6, habitat : fridge 4.2.7 # in fridge # part : cool # until set . remove # habitat : fridge 4.2.7 # tiles # part : remove # and use food # part : use # pens to trace # tool : food pens 5.1.5 # the mahjong characters . you 'll need lots of patience and a good eye - sight for this step . leave # drop : mahjong tile 2.2.6 # to dry # drop : mahjong tile 2.2.6 # , and serve your desserts # part : serve # chilled . ",1
3187,How many actions does it take to process the pandan leave?,"combine # result : mixture 1.1.1, habitat : bowl 1.1.1 # water # part : combine # , sugar # part : combine # , agar # part : combine # agar powder and pandan # part : combine # leaves and bring to a boil # drop : mixture 1.1.1 # . stir # drop : mixture 1.1.1, tool : spoon 1.2.1 # until sugar # part : dissolve # and agar # part : dissolve # agar dissolve . discard pandan # part : discard # leaves . add # drop : mixture 1.1.1 # kara # part : add # coconut cream and bring to a boil # drop : mixture 1.1.1 # . fill up 3/4 of each mahjong # part : fill # tile , and let it set . add desired food # part : add # colouring to the rest of the agar # part : add # mixture ; i 'm using baking # part : add # king apple # part : add # green food colouring here . fill up the remaining mahjong # part : fill # tiles . leave to cool # drop : mahjong tile 2.2.6 # and chill # drop : mahjong tile 2.2.6, habitat : fridge 4.2.7 # in fridge # part : cool # until set . remove # habitat : fridge 4.2.7 # tiles # part : remove # and use food # part : use # pens to trace # tool : food pens 5.1.5 # the mahjong characters . you 'll need lots of patience and a good eye - sight for this step . leave # drop : mahjong tile 2.2.6 # to dry # drop : mahjong tile 2.2.6 # , and serve your desserts # part : serve # chilled . ",2
3188,How many actions does it take to process the apple green?,"combine # result : mixture 1.1.1, habitat : bowl 1.1.1 # water # part : combine # , sugar # part : combine # , agar # part : combine # agar powder and pandan # part : combine # leaves and bring to a boil # drop : mixture 1.1.1 # . stir # drop : mixture 1.1.1, tool : spoon 1.2.1 # until sugar # part : dissolve # and agar # part : dissolve # agar dissolve . discard pandan # part : discard # leaves . add # drop : mixture 1.1.1 # kara # part : add # coconut cream and bring to a boil # drop : mixture 1.1.1 # . fill up 3/4 of each mahjong # part : fill # tile , and let it set . add desired food # part : add # colouring to the rest of the agar # part : add # mixture ; i 'm using baking # part : add # king apple # part : add # green food colouring here . fill up the remaining mahjong # part : fill # tiles . leave to cool # drop : mahjong tile 2.2.6 # and chill # drop : mahjong tile 2.2.6, habitat : fridge 4.2.7 # in fridge # part : cool # until set . remove # habitat : fridge 4.2.7 # tiles # part : remove # and use food # part : use # pens to trace # tool : food pens 5.1.5 # the mahjong characters . you 'll need lots of patience and a good eye - sight for this step . leave # drop : mahjong tile 2.2.6 # to dry # drop : mahjong tile 2.2.6 # , and serve your desserts # part : serve # chilled . ",1
3189,How many actions does it take to process the lime juice?,"place ribs # part : place # in the bottom of the crockpot # part : place # . separate # tool : knife 2.1.1 # onion # part : separate # into rings # part : separate # and place # drop : rings 2.1.4 # on top of pork # part : place # . in a small # part : mix # bowl , mix # result : mixture 3.1.6, tool : spoon 3.1.6 # together ketjap # part : mix # manis , pineapple # part : mix # juice , lime # part : mix # juice , ketchup # part : mix # , brown # part : mix # sugar , ginger # part : mix # , turmeric # part : mix # , and cayenne # part : mix # pepper until blended . pour mixture # part : pour # over pork # part : pour # and onions # part : pour # . cover crockpot # part : cover # and cook # drop : mixture 3.1.6 onion 2.1.2 ribs 1.1.2, result : ribs 1.1.2, habitat : crockpot 1.1.8 # on low for 6 - 8 hours or on high for 3 - 4 hours or until pork is tender and cooked through . serve pork # part : serve # with rice # part : serve # ( if desired ) , garnished # drop : ribs 1.1.2 # with slices of hot # part : garnished # chiles . ",1
3190,How many small bowls are used?,"place ribs # part : place # in the bottom of the crockpot # part : place # . separate # tool : knife 2.1.1 # onion # part : separate # into rings # part : separate # and place # drop : rings 2.1.4 # on top of pork # part : place # . in a small # part : mix # bowl , mix # result : mixture 3.1.6, tool : spoon 3.1.6 # together ketjap # part : mix # manis , pineapple # part : mix # juice , lime # part : mix # juice , ketchup # part : mix # , brown # part : mix # sugar , ginger # part : mix # , turmeric # part : mix # , and cayenne # part : mix # pepper until blended . pour mixture # part : pour # over pork # part : pour # and onions # part : pour # . cover crockpot # part : cover # and cook # drop : mixture 3.1.6 onion 2.1.2 ribs 1.1.2, result : ribs 1.1.2, habitat : crockpot 1.1.8 # on low for 6 - 8 hours or on high for 3 - 4 hours or until pork is tender and cooked through . serve pork # part : serve # with rice # part : serve # ( if desired ) , garnished # drop : ribs 1.1.2 # with slices of hot # part : garnished # chiles . ",1
3191,How many actions does it take to process the cayenne pepper?,"place ribs # part : place # in the bottom of the crockpot # part : place # . separate # tool : knife 2.1.1 # onion # part : separate # into rings # part : separate # and place # drop : rings 2.1.4 # on top of pork # part : place # . in a small # part : mix # bowl , mix # result : mixture 3.1.6, tool : spoon 3.1.6 # together ketjap # part : mix # manis , pineapple # part : mix # juice , lime # part : mix # juice , ketchup # part : mix # , brown # part : mix # sugar , ginger # part : mix # , turmeric # part : mix # , and cayenne # part : mix # pepper until blended . pour mixture # part : pour # over pork # part : pour # and onions # part : pour # . cover crockpot # part : cover # and cook # drop : mixture 3.1.6 onion 2.1.2 ribs 1.1.2, result : ribs 1.1.2, habitat : crockpot 1.1.8 # on low for 6 - 8 hours or on high for 3 - 4 hours or until pork is tender and cooked through . serve pork # part : serve # with rice # part : serve # ( if desired ) , garnished # drop : ribs 1.1.2 # with slices of hot # part : garnished # chiles . ",1
3192,How many spoons are used?,"place ribs # part : place # in the bottom of the crockpot # part : place # . separate # tool : knife 2.1.1 # onion # part : separate # into rings # part : separate # and place # drop : rings 2.1.4 # on top of pork # part : place # . in a small # part : mix # bowl , mix # result : mixture 3.1.6, tool : spoon 3.1.6 # together ketjap # part : mix # manis , pineapple # part : mix # juice , lime # part : mix # juice , ketchup # part : mix # , brown # part : mix # sugar , ginger # part : mix # , turmeric # part : mix # , and cayenne # part : mix # pepper until blended . pour mixture # part : pour # over pork # part : pour # and onions # part : pour # . cover crockpot # part : cover # and cook # drop : mixture 3.1.6 onion 2.1.2 ribs 1.1.2, result : ribs 1.1.2, habitat : crockpot 1.1.8 # on low for 6 - 8 hours or on high for 3 - 4 hours or until pork is tender and cooked through . serve pork # part : serve # with rice # part : serve # ( if desired ) , garnished # drop : ribs 1.1.2 # with slices of hot # part : garnished # chiles . ",1
3193,How many pans are used?,"preheat oven to 350 degrees f. line pan with parchment paper or use baking spray . mix the cake # part : mix # flour , almond # part : mix # meal , cinnamon # part : mix # , and sugar # part : mix # together in a large # part : mix # bowl . add canola # part : add # oil and form a pasty dough . separate the dough # part : separate # with your hands # part : separate # to form crumbs . add maple # part : add # syrup and form into a dough once more . separate the dough # part : separate # into 2 pieces . crumble and press 1 of the pieces of dough into bottom of the pan . add the frozen # part : add # blueberries . crumble the remaining dough # part : crumble # for the top layer . gently press # tool : hands 3.4.2 # down and bake # habitat : oven 3.4.5 # for 45 minutes at 350 degrees f. let it cool down for about 30 minutes . cut # tool : knife 4.2.1 # into bars # part : serve # and serve . ",2
3194,How many knives are used?,"preheat oven to 350 degrees f. line pan with parchment paper or use baking spray . mix the cake # part : mix # flour , almond # part : mix # meal , cinnamon # part : mix # , and sugar # part : mix # together in a large # part : mix # bowl . add canola # part : add # oil and form a pasty dough . separate the dough # part : separate # with your hands # part : separate # to form crumbs . add maple # part : add # syrup and form into a dough once more . separate the dough # part : separate # into 2 pieces . crumble and press 1 of the pieces of dough into bottom of the pan . add the frozen # part : add # blueberries . crumble the remaining dough # part : crumble # for the top layer . gently press # tool : hands 3.4.2 # down and bake # habitat : oven 3.4.5 # for 45 minutes at 350 degrees f. let it cool down for about 30 minutes . cut # tool : knife 4.2.1 # into bars # part : serve # and serve . ",1
3195,How many actions does it take to process the cinnamon?,"preheat oven to 350 degrees f. line pan with parchment paper or use baking spray . mix the cake # part : mix # flour , almond # part : mix # meal , cinnamon # part : mix # , and sugar # part : mix # together in a large # part : mix # bowl . add canola # part : add # oil and form a pasty dough . separate the dough # part : separate # with your hands # part : separate # to form crumbs . add maple # part : add # syrup and form into a dough once more . separate the dough # part : separate # into 2 pieces . crumble and press 1 of the pieces of dough into bottom of the pan . add the frozen # part : add # blueberries . crumble the remaining dough # part : crumble # for the top layer . gently press # tool : hands 3.4.2 # down and bake # habitat : oven 3.4.5 # for 45 minutes at 350 degrees f. let it cool down for about 30 minutes . cut # tool : knife 4.2.1 # into bars # part : serve # and serve . ",1
3196,How many ovens are used?,"preheat oven to 350 degrees f. line pan with parchment paper or use baking spray . mix the cake # part : mix # flour , almond # part : mix # meal , cinnamon # part : mix # , and sugar # part : mix # together in a large # part : mix # bowl . add canola # part : add # oil and form a pasty dough . separate the dough # part : separate # with your hands # part : separate # to form crumbs . add maple # part : add # syrup and form into a dough once more . separate the dough # part : separate # into 2 pieces . crumble and press 1 of the pieces of dough into bottom of the pan . add the frozen # part : add # blueberries . crumble the remaining dough # part : crumble # for the top layer . gently press # tool : hands 3.4.2 # down and bake # habitat : oven 3.4.5 # for 45 minutes at 350 degrees f. let it cool down for about 30 minutes . cut # tool : knife 4.2.1 # into bars # part : serve # and serve . ",2
3197,How many actions does it take to process the sugar?,"preheat oven to 350 degrees f. line pan with parchment paper or use baking spray . mix the cake # part : mix # flour , almond # part : mix # meal , cinnamon # part : mix # , and sugar # part : mix # together in a large # part : mix # bowl . add canola # part : add # oil and form a pasty dough . separate the dough # part : separate # with your hands # part : separate # to form crumbs . add maple # part : add # syrup and form into a dough once more . separate the dough # part : separate # into 2 pieces . crumble and press 1 of the pieces of dough into bottom of the pan . add the frozen # part : add # blueberries . crumble the remaining dough # part : crumble # for the top layer . gently press # tool : hands 3.4.2 # down and bake # habitat : oven 3.4.5 # for 45 minutes at 350 degrees f. let it cool down for about 30 minutes . cut # tool : knife 4.2.1 # into bars # part : serve # and serve . ",1
3198,How many parchment papers are used?,"preheat oven to 350 degrees f. line pan with parchment paper or use baking spray . mix the cake # part : mix # flour , almond # part : mix # meal , cinnamon # part : mix # , and sugar # part : mix # together in a large # part : mix # bowl . add canola # part : add # oil and form a pasty dough . separate the dough # part : separate # with your hands # part : separate # to form crumbs . add maple # part : add # syrup and form into a dough once more . separate the dough # part : separate # into 2 pieces . crumble and press 1 of the pieces of dough into bottom of the pan . add the frozen # part : add # blueberries . crumble the remaining dough # part : crumble # for the top layer . gently press # tool : hands 3.4.2 # down and bake # habitat : oven 3.4.5 # for 45 minutes at 350 degrees f. let it cool down for about 30 minutes . cut # tool : knife 4.2.1 # into bars # part : serve # and serve . ",1
3199,How many actions does it take to process the milk?,"mix # shadow : spoon 1.1.1 # sugar # part : mix # , flour # part : mix # , and salt # part : mix # in heavy # part : mix # 6-qt saucepan . add # habitat : heavy qt saucepan 1.1.9 # egg # part : add # yolks and mix # result : egg mixture 3.1.6, tool : spoon 1.1.1, habitat : heavy qt saucepan 1.1.9 # well . using wire # part : stir # whisk , stir # habitat : heavy qt saucepan 1.1.9 # egg # part : stir # mixture and slowly pour # result : custard 4.1.10, habitat : heavy qt saucepan 1.1.9 # in milk # part : pour # and cream # part : pour # . cook # drop : custard 4.1.10, habitat : stove 4.1.1 # over low heat , stirring # drop : custard 4.1.10 # constantly , until custard # part : thickened # is thickened # habitat : heavy qt saucepan 1.1.9 # and just coats # drop : custard 4.1.10, tool : wooden spoon 4.1.20 # the back of a wooden # part : stirring # spoon . remove # drop : custard 4.1.10 # from heat and let cool # drop : custard 4.1.10 # . the custard # part : thicken # will thicken as it cools # drop : custard 6.1.2 # . when cold , stir # drop : custard 6.1.2, tool : wooden spoon 4.1.20 # in vanilla # part : stir # , nutmeg # part : stir # , and whiskey # part : stir # . ",1
3200,How many actions does it take to process the sugar?,"mix # shadow : spoon 1.1.1 # sugar # part : mix # , flour # part : mix # , and salt # part : mix # in heavy # part : mix # 6-qt saucepan . add # habitat : heavy qt saucepan 1.1.9 # egg # part : add # yolks and mix # result : egg mixture 3.1.6, tool : spoon 1.1.1, habitat : heavy qt saucepan 1.1.9 # well . using wire # part : stir # whisk , stir # habitat : heavy qt saucepan 1.1.9 # egg # part : stir # mixture and slowly pour # result : custard 4.1.10, habitat : heavy qt saucepan 1.1.9 # in milk # part : pour # and cream # part : pour # . cook # drop : custard 4.1.10, habitat : stove 4.1.1 # over low heat , stirring # drop : custard 4.1.10 # constantly , until custard # part : thickened # is thickened # habitat : heavy qt saucepan 1.1.9 # and just coats # drop : custard 4.1.10, tool : wooden spoon 4.1.20 # the back of a wooden # part : stirring # spoon . remove # drop : custard 4.1.10 # from heat and let cool # drop : custard 4.1.10 # . the custard # part : thicken # will thicken as it cools # drop : custard 6.1.2 # . when cold , stir # drop : custard 6.1.2, tool : wooden spoon 4.1.20 # in vanilla # part : stir # , nutmeg # part : stir # , and whiskey # part : stir # . ",1
3201,How many times is the wooden spoon used?,"mix # shadow : spoon 1.1.1 # sugar # part : mix # , flour # part : mix # , and salt # part : mix # in heavy # part : mix # 6-qt saucepan . add # habitat : heavy qt saucepan 1.1.9 # egg # part : add # yolks and mix # result : egg mixture 3.1.6, tool : spoon 1.1.1, habitat : heavy qt saucepan 1.1.9 # well . using wire # part : stir # whisk , stir # habitat : heavy qt saucepan 1.1.9 # egg # part : stir # mixture and slowly pour # result : custard 4.1.10, habitat : heavy qt saucepan 1.1.9 # in milk # part : pour # and cream # part : pour # . cook # drop : custard 4.1.10, habitat : stove 4.1.1 # over low heat , stirring # drop : custard 4.1.10 # constantly , until custard # part : thickened # is thickened # habitat : heavy qt saucepan 1.1.9 # and just coats # drop : custard 4.1.10, tool : wooden spoon 4.1.20 # the back of a wooden # part : stirring # spoon . remove # drop : custard 4.1.10 # from heat and let cool # drop : custard 4.1.10 # . the custard # part : thicken # will thicken as it cools # drop : custard 6.1.2 # . when cold , stir # drop : custard 6.1.2, tool : wooden spoon 4.1.20 # in vanilla # part : stir # , nutmeg # part : stir # , and whiskey # part : stir # . ",3
3202,How many times is the heavy 6-qt saucepan used?,"mix # shadow : spoon 1.1.1 # sugar # part : mix # , flour # part : mix # , and salt # part : mix # in heavy # part : mix # 6-qt saucepan . add # habitat : heavy qt saucepan 1.1.9 # egg # part : add # yolks and mix # result : egg mixture 3.1.6, tool : spoon 1.1.1, habitat : heavy qt saucepan 1.1.9 # well . using wire # part : stir # whisk , stir # habitat : heavy qt saucepan 1.1.9 # egg # part : stir # mixture and slowly pour # result : custard 4.1.10, habitat : heavy qt saucepan 1.1.9 # in milk # part : pour # and cream # part : pour # . cook # drop : custard 4.1.10, habitat : stove 4.1.1 # over low heat , stirring # drop : custard 4.1.10 # constantly , until custard # part : thickened # is thickened # habitat : heavy qt saucepan 1.1.9 # and just coats # drop : custard 4.1.10, tool : wooden spoon 4.1.20 # the back of a wooden # part : stirring # spoon . remove # drop : custard 4.1.10 # from heat and let cool # drop : custard 4.1.10 # . the custard # part : thicken # will thicken as it cools # drop : custard 6.1.2 # . when cold , stir # drop : custard 6.1.2, tool : wooden spoon 4.1.20 # in vanilla # part : stir # , nutmeg # part : stir # , and whiskey # part : stir # . ",6
3203,How many spoons are used?,"mix # shadow : spoon 1.1.1 # sugar # part : mix # , flour # part : mix # , and salt # part : mix # in heavy # part : mix # 6-qt saucepan . add # habitat : heavy qt saucepan 1.1.9 # egg # part : add # yolks and mix # result : egg mixture 3.1.6, tool : spoon 1.1.1, habitat : heavy qt saucepan 1.1.9 # well . using wire # part : stir # whisk , stir # habitat : heavy qt saucepan 1.1.9 # egg # part : stir # mixture and slowly pour # result : custard 4.1.10, habitat : heavy qt saucepan 1.1.9 # in milk # part : pour # and cream # part : pour # . cook # drop : custard 4.1.10, habitat : stove 4.1.1 # over low heat , stirring # drop : custard 4.1.10 # constantly , until custard # part : thickened # is thickened # habitat : heavy qt saucepan 1.1.9 # and just coats # drop : custard 4.1.10, tool : wooden spoon 4.1.20 # the back of a wooden # part : stirring # spoon . remove # drop : custard 4.1.10 # from heat and let cool # drop : custard 4.1.10 # . the custard # part : thicken # will thicken as it cools # drop : custard 6.1.2 # . when cold , stir # drop : custard 6.1.2, tool : wooden spoon 4.1.20 # in vanilla # part : stir # , nutmeg # part : stir # , and whiskey # part : stir # . ",1
